com_id,year,cand_id,name,party,state,district,0,1,2,3,median,mean,individual,pac
N00000010,2016,H2IN06023,Dan Burton ,R,IN,IN05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000.0
N00000036,2016,S8WI00026,Russ Feingold ,D,WI,WIS2,15432002.0,2634419.0,376308.0,111581.0,50.0,234.8832608929367,15293484.0,14847838.0
N00000078,2016,H2NY14037,Carolyn B Maloney ,D,NY,NY12,1429068.0,250400.0,0.0,0.0,500.0,798.4123616236162,865479.0,787910.0
N00000153,2016,H8MA02041,Richard E Neal ,D,MA,MA01,1479123.0,375000.0,0.0,0.0,500.0,798.781299524564,504031.0,1319342.0
N00000179,2016,H4MA03022,James P McGovern ,D,MA,MA02,698727.0,130000.0,0.0,0.0,200.0,289.27051177904144,356092.0,470156.0
N00000205,2016,H2MA05054,Marty Meehan ,D,MA,MA05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0
N00000226,2016,H4MA06033,John F Tierney ,D,MA,MA06,0.0,0.0,0.0,0.0,-1300.0,-1275.5,-20408.0,-22500.0
N00000259,2016,H6MA08141,Joseph P Kennedy II ,D,MA,MA08,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0
N00000267,2016,H8MA08071,Michael E Capuano ,D,MA,MA07,620745.0,130000.0,0.0,0.0,500.0,743.5344827586208,215625.0,525020.0
N00000270,2016,S4MA00028,Ed Markey ,D,MA,MAS2,482306.0,171200.0,0.0,0.0,15.0,479.64607843137253,489239.0,96500.0
N00000362,2016,S6RI00163,Jack Reed ,D,RI,RIS2,406118.0,30000.0,0.0,0.0,500.0,608.858407079646,275204.0,155750.0
N00000397,2016,S0NH00201,John E Sununu ,R,NH,NHS2,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0
N00000491,2016,S6ME00159,Susan Collins ,R,ME,MES2,199365.0,15000.0,0.0,0.0,500.0,761.7088607594935,60175.0,133940.0
N00000515,2016,H6VT00160,Peter Welch ,D,VT,VT01,880430.0,145000.0,0.0,0.0,500.0,513.1050328227572,234489.0,720514.0
N00000575,2016,H8CT01046,John B Larson ,D,CT,CT01,1395418.0,200000.0,0.0,0.0,300.0,523.2080000000001,392406.0,1150012.0
N00000581,2016,S0CT00037,Chris Dodd ,D,CT,CTS2,0.0,0.0,0.0,0.0,-1000.0,-1000.0,-1000.0,0.0
N00000615,2016,H0CT03072,Rosa L DeLauro ,D,CT,CT03,909098.0,215000.0,0.0,0.0,500.0,681.9466484268125,498503.0,590589.0
N00000652,2016,H8CT04057,Christopher Shays ,R,CT,CT04,1000.0,0.0,0.0,0.0,500.0,500.0,1000.0,0.0
N00000684,2016,H2NJ05014,Rodney Frelinghuysen ,R,NJ,NJ11,1667650.0,255000.0,0.0,0.0,500.0,851.1374893253628,996682.0,905368.0
N00000699,2016,S6NJ00289,Robert Menendez ,D,NJ,NJS1,1077441.0,75400.0,10000.0,0.0,500.0,830.0938388625592,875749.0,239300.0
N00000716,2016,H0NJ10026,Donald M Payne ,D,NJ,NJ10,41800.0,0.0,0.0,0.0,0.0,0.0,0.0,37800.0
N00000738,2016,H8NJ09088,Steve Lonegan ,R,NJ,NJ03,18109.0,0.0,0.0,0.0,113.0,344.64444444444445,15509.0,0.0
N00000743,2016,H8NJ05052,Scott Garrett ,R,NJ,NJ05,2040375.0,316212.0,128445.0,67486.0,250.0,593.6411274315204,1495382.0,4491145.0
N00000751,2016,H6NJ08118,Bill Pascrell Jr ,D,NJ,NJ09,1555203.0,150400.0,0.0,0.0,500.0,701.7663636363636,771943.0,917360.0
N00000781,2016,S6NJ00263,Frank Pallone Jr ,D,NJ,NJ06,1970297.0,415000.0,0.0,0.0,500.0,858.3059617547807,763034.0,1607213.0
N00000826,2016,S8NJ00392,Robert E Andrews ,D,NJ,NJ01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0
N00000851,2016,H2NJ02037,Frank A LoBiondo ,R,NJ,NJ02,1326267.0,230000.0,12000.0,0.0,500.0,743.0018484288355,401964.0,1150003.0
N00000860,2016,S4NJ00201,Rush Holt ,D,NJ,NJ12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0
N00000871,2016,S8NJ00012,Jeff Bell ,R,NJ,NJS2,81100.0,0.0,0.0,0.0,500.0,1149.2753623188405,79300.0,0.0
N00000898,2016,H6NJ12136,Leonard Lance ,R,NJ,NJ07,873542.0,175000.0,12352.0,0.0,500.0,674.8053435114504,353598.0,687796.0
N00000939,2016,H2NY17071,Jerrold Nadler ,D,NY,NY10,1387879.0,256997.0,0.0,0.0,600.0,1068.9600798403194,1071098.0,555178.0
N00000962,2016,H4NY15071,Adam Clayton Powell IV ,D,NY,NY13,204719.0,36200.0,0.0,0.0,250.0,423.14910536779325,212844.0,15900.0
N00000964,2016,H6NY19029,Charles B Rangel ,D,NY,NY13,142192.0,30000.0,0.0,0.0,500.0,548.0808080808081,108520.0,45256.0
N00001003,2016,H8NY19058,Eliot L Engel ,D,NY,NY16,1501846.0,130400.0,0.0,0.0,1000.0,1033.0646950092419,1117776.0,503970.0
N00001024,2016,H8NY20056,Nita M Lowey ,D,NY,NY17,1612538.0,176600.0,0.0,0.0,550.0,1058.0164338537386,1287606.0,472145.0
N00001026,2016,H8NY20080,Paul J Feiner ,D,NY,NY20,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
N00001093,2016,S8NY00082,Charles E Schumer ,D,NY,NYS2,15727892.0,1380500.0,20200.0,0.0,1300.0,1555.4314708970026,13334714.0,3610373.0
N00001102,2016,H2NY00010,Nydia M Velazquez ,D,NY,NY07,712026.0,181735.0,11963.0,0.0,500.0,958.191037735849,406273.0,489951.0
N00001127,2016,H8NY07046,Joseph Crowley ,D,NY,NY14,2587968.0,646800.0,0.0,0.0,500.0,824.5755750273822,1505675.0,1673832.0
N00001171,2016,H8NY06048,Gregory W Meeks ,D,NY,NY05,856077.0,140000.0,0.0,0.0,500.0,917.8975409836064,223967.0,756610.0
N00001193,2016,H2NY03089,Pete King ,R,NY,NY02,801380.0,165200.0,0.0,0.0,500.0,733.7721518987341,463744.0,494836.0
N00001285,2016,H8NY29032,Chris Collins ,R,NY,NY27,1003228.0,70000.0,0.0,0.0,1000.0,1136.376811594203,313640.0,750888.0
N00001311,2016,H6NY03031,Louise M Slaughter ,D,NY,NY25,1222518.0,206400.0,0.0,0.0,50.0,218.30342679127725,700754.0,713556.0
N00001373,2016,H4PA18131,Mike Doyle ,D,PA,PA14,612330.0,220000.0,0.0,0.0,500.0,774.0535714285713,173388.0,652674.0
N00001489,2016,S4PA00121,Pat Toomey ,R,PA,PAS1,16443991.0,1510081.0,159840.0,390124.0,100.0,389.07940815969187,13332195.0,55047277.0
N00001555,2016,H2PA13078,Marjorie Margolies ,D,PA,PA13,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0
N00001579,2016,H4PA13124,Allyson Schwartz ,D,PA,PA13,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
N00001619,2016,H8PA01153,Robert A Brady ,D,PA,PA01,514625.0,235000.0,0.0,0.0,1000.0,1186.439393939394,391525.0,344600.0
N00001633,2016,H6PA16197,Joe Pitts ,R,PA,PA16,381950.0,40000.0,0.0,0.0,500.0,660.2941176470587,22450.0,367500.0
N00001692,2016,H0DC00058,Eleanor Holmes Norton ,D,DC,DC00,312368.0,85000.0,0.0,0.0,500.0,1041.2923076923078,135368.0,245000.0
N00001746,2016,H2PA02055,Chaka Fattah ,D,PA,PA02,170300.0,47327.0,0.0,0.0,500.0,926.5306122448981,90800.0,115327.0
N00001758,2016,S0IA00028,Chuck Grassley ,R,IA,IAS1,7224486.0,1247934.0,36135.0,0.0,250.0,611.3214839424141,5520233.0,2929315.0
N00001783,2016,H6MI16034,John D Dingell ,D,MI,MI12,3500.0,5000.0,0.0,0.0,0.0,0.0,0.0,-1000.0
