cand_id,name,party,state,donoSetOne,donoSetTwo,donoSetThree,donoSetFour,median,mean,individual,pac
S8WI00026,Russ Feingold,D,WI,15432002,2634419,376308,111581,50,234.8832609,15293484,14847838
H2NY14037,Carolyn B Maloney,D,NY,1429068,250400,0,0,500,798.4123616,865479,787910
H8MA02041,Richard E Neal,D,MA,1479123,375000,0,0,500,798.7812995,504031,1319342
H4MA03022,James P McGovern,D,MA,698727,130000,0,0,200,289.2705118,356092,470156
H6MA08141,Joseph P Kennedy II,D,MA,1500,0,0,0,0,0,0,1500
H8MA08071,Michael E Capuano,D,MA,620745,130000,0,0,500,743.5344828,215625,525020
S4MA00028,Ed Markey,D,MA,482306,171200,0,0,15,479.6460784,489239,96500
S6RI00163,Jack Reed,D,RI,406118,30000,0,0,500,608.8584071,275204,155750
S0NH00201,John E Sununu,R,NH,1013,0,0,0,0,0,0,1013
S6ME00159,Susan Collins,R,ME,199365,15000,0,0,500,761.7088608,60175,133940
H6VT00160,Peter Welch,D,VT,880430,145000,0,0,500,513.1050328,234489,720514
H8CT01046,John B Larson,D,CT,1395418,200000,0,0,300,523.208,392406,1150012
H0CT03072,Rosa L DeLauro,D,CT,909098,215000,0,0,500,681.9466484,498503,590589
H8CT04057,Christopher Shays,R,CT,1000,0,0,0,500,500,1000,0
H2NJ05014,Rodney Frelinghuysen,R,NJ,1667650,255000,0,0,500,851.1374893,996682,905368
S6NJ00289,Robert Menendez,D,NJ,1077441,75400,10000,0,500,830.0938389,875749,239300
H0NJ10026,Donald M Payne,D,NJ,41800,0,0,0,0,0,0,37800
H8NJ09088,Steve Lonegan,R,NJ,18109,0,0,0,113,344.6444444,15509,0
H8NJ05052,Scott Garrett,R,NJ,2040375,316212,128445,67486,250,593.6411274,1495382,4491145
H6NJ08118,Bill Pascrell Jr,D,NJ,1555203,150400,0,0,500,701.7663636,771943,917360
S6NJ00263,Frank Pallone Jr,D,NJ,1970297,415000,0,0,500,858.3059618,763034,1607213
H2NJ02037,Frank A LoBiondo,R,NJ,1326267,230000,12000,0,500,743.0018484,401964,1150003
S8NJ00012,Jeff Bell,R,NJ,81100,0,0,0,500,1149.275362,79300,0
H6NJ12136,Leonard Lance,R,NJ,873542,175000,12352,0,500,674.8053435,353598,687796
H2NY17071,Jerrold Nadler,D,NY,1387879,256997,0,0,600,1068.96008,1071098,555178
H4NY15071,Adam Clayton Powell IV,D,NY,204719,36200,0,0,250,423.1491054,212844,15900
H6NY19029,Charles B Rangel,D,NY,142192,30000,0,0,500,548.0808081,108520,45256
H8NY19058,Eliot L Engel,D,NY,1501846,130400,0,0,1000,1033.064695,1117776,503970
H8NY20056,Nita M Lowey,D,NY,1612538,176600,0,0,550,1058.016434,1287606,472145
H8NY20080,Paul J Feiner,D,NY,1,0,0,0,1,1,1,0
S8NY00082,Charles E Schumer,D,NY,15727892,1380500,20200,0,1300,1555.431471,13334714,3610373
H2NY00010,Nydia M Velazquez,D,NY,712026,181735,11963,0,500,958.1910377,406273,489951
H8NY07046,Joseph Crowley,D,NY,2587968,646800,0,0,500,824.575575,1505675,1673832
H8NY06048,Gregory W Meeks,D,NY,856077,140000,0,0,500,917.897541,223967,756610
H2NY03089,Pete King,R,NY,801380,165200,0,0,500,733.7721519,463744,494836
H8NY29032,Chris Collins,R,NY,1003228,70000,0,0,1000,1136.376812,313640,750888
H6NY03031,Louise M Slaughter,D,NY,1222518,206400,0,0,50,218.3034268,700754,713556
H4PA18131,Mike Doyle,D,PA,612330,220000,0,0,500,774.0535714,173388,652674
S4PA00121,Pat Toomey,R,PA,16443991,1510081,159840,390124,100,389.0794082,13332195,55047277
H2PA13078,Marjorie Margolies,D,PA,1000,0,0,0,1000,1000,1000,0
H4PA13124,Allyson Schwartz,D,PA,1000,0,0,0,0,0,0,1000
H8PA01153,Robert A Brady,D,PA,514625,235000,0,0,1000,1186.439394,391525,344600
H6PA16197,Joe Pitts,R,PA,381950,40000,0,0,500,660.2941176,22450,367500
H0DC00058,Eleanor Holmes Norton,D,DC,312368,85000,0,0,500,1041.292308,135368,245000
H2PA02055,Chaka Fattah,D,PA,170300,47327,0,0,500,926.5306122,90800,115327
S0IA00028,Chuck Grassley,R,IA,7224486,1247934,36135,0,250,611.3214839,5520233,2929315
H6MI16034,John D Dingell,D,MI,3500,5000,0,0,0,0,0,-1000
